"# Regresion (M2, dif+intercepto, ref=mul). Gen 2026-08-15 21:13:51. n=84, R2=0.9948, b0=1.1473"
parameter,coef,unit
P_idle,1.148739,W
b0,1.147344,W
alu,2.830883e-09,J/instr
mul,1.890973e-09,J/instr
mulh,6.379427e-09,J/instr
div,1.009036e-08,J/instr
mem,1.890973e-09,J/instr
ctrl,5.586610e-09,J/instr
fp_add,4.165624e-09,J/instr
fp_mul,3.973333e-09,J/instr
fp_fma,4.274989e-09,J/instr
fp_div,9.148660e-09,J/instr
fp_sqrt,6.867701e-09,J/instr
fp_noncomp,2.125409e-09,J/instr
fp_conv,2.585996e-09,J/instr
stall,4.099696e-10,J/cycle
