"# Regresion (M2, dif+intercepto, ref=mul). Gen 2026-08-15 21:13:51. n=84, R2=0.9849, b0=1.1471"
parametro,coef,unidad
P_idle,1.146881,W
b0,1.147134,W
alu,3.196239e-09,J/instr
mul,1.477490e-09,J/instr
mulh,6.891705e-09,J/instr
div,1.156470e-08,J/instr
mem,1.874203e-09,J/instr
ctrl,4.784098e-09,J/instr
fp_add,3.658157e-09,J/instr
fp_mul,4.150557e-09,J/instr
fp_fma,3.757776e-09,J/instr
fp_div,8.094881e-09,J/instr
fp_sqrt,3.555411e-09,J/instr
fp_noncomp,1.850667e-09,J/instr
fp_conv,2.367896e-09,J/instr
stall,4.155842e-10,J/ciclo
