"# Regresion (M2, dif+intercepto, ref=mul). Gen 2026-08-15 21:13:51. n=84, R2=0.9960, b0=1.1467"
parameter,coef,unit
P_idle,1.147258,W
b0,1.146726,W
alu,2.902451e-09,J/instr
mul,1.712471e-09,J/instr
mulh,6.304276e-09,J/instr
div,9.634770e-09,J/instr
mem,1.805378e-09,J/instr
ctrl,5.412719e-09,J/instr
fp_add,4.133262e-09,J/instr
fp_mul,3.998258e-09,J/instr
fp_fma,4.322519e-09,J/instr
fp_div,9.590296e-09,J/instr
fp_sqrt,7.587836e-09,J/instr
fp_noncomp,2.152266e-09,J/instr
fp_conv,2.616799e-09,J/instr
stall,3.961150e-10,J/cycle
