# Bucles dominados (M1). Generado 2026-08-15 00:24:10.,coef=(P_cat-P_idle)*T/n_i por instruccion (div: c~21 plegado).
parametro,coef,unidad
P_idle,1.146489,W
T_idle,39.49,C
alu,2.441370e-09,J/instr
mul,1.467850e-09,J/instr
mulh,6.199053e-09,J/instr
div,1.021570e-08,J/instr
mem,2.430737e-09,J/instr
ctrl,6.019091e-09,J/instr
fp_add,4.292550e-09,J/instr
fp_mul,3.551100e-09,J/instr
fp_fma,5.150550e-09,J/instr
fp_div,9.283050e-09,J/instr
fp_sqrt,6.313750e-09,J/instr
fp_noncomp,2.690750e-09,J/instr
fp_conv,2.661150e-09,J/instr
