# Bucles dominados (M1). Generado 2026-08-14 23:57:29.,coef=(P_cat-P_idle)*T/n_i por instruccion (div: c~21 plegado).
parameter,coef,unit
P_idle,1.145977,W
T_idle,39.49,C
alu,2.438132e-09,J/instr
mul,1.474980e-09,J/instr
mulh,6.201570e-09,J/instr
div,1.028505e-08,J/instr
mem,2.461300e-09,J/instr
ctrl,6.054099e-09,J/instr
fp_add,4.319850e-09,J/instr
fp_mul,3.556350e-09,J/instr
fp_fma,5.142000e-09,J/instr
fp_div,9.377375e-09,J/instr
fp_sqrt,6.360625e-09,J/instr
fp_noncomp,2.709750e-09,J/instr
fp_conv,2.710500e-09,J/instr
