# Bucles dominados (M1). Generado 2026-08-15 02:23:49.,coef=(P_cat-P_idle)*T/n_i por instruccion (div: c~21 plegado).
parameter,coef,unit
P_idle,1.146696,W
T_idle,39.49,C
alu,2.447541e-09,J/instr
mul,1.473120e-09,J/instr
mulh,6.217677e-09,J/instr
div,1.019678e-08,J/instr
mem,2.406695e-09,J/instr
ctrl,5.957545e-09,J/instr
fp_add,4.264050e-09,J/instr
fp_mul,3.528300e-09,J/instr
fp_fma,5.151150e-09,J/instr
fp_div,8.992725e-09,J/instr
fp_sqrt,6.235625e-09,J/instr
fp_noncomp,2.662500e-09,J/instr
fp_conv,2.642550e-09,J/instr
