# Bucles dominados (M1). Generado 2026-08-15 01:30:22.,coef=(P_cat-P_idle)*T/n_i por instruccion (div: c~21 plegado).
parameter,coef,unit
P_idle,1.147217,W
T_idle,39.49,C
alu,2.438233e-09,J/instr
mul,1.480147e-09,J/instr
mulh,6.172880e-09,J/instr
div,1.029555e-08,J/instr
mem,2.405269e-09,J/instr
ctrl,6.015138e-09,J/instr
fp_add,4.273650e-09,J/instr
fp_mul,3.530700e-09,J/instr
fp_fma,5.137950e-09,J/instr
fp_div,9.120125e-09,J/instr
fp_sqrt,6.242500e-09,J/instr
fp_noncomp,2.672875e-09,J/instr
fp_conv,2.662650e-09,J/instr
