# Bucles dominados (M1). Generado 2026-08-15 01:56:59.,coef=(P_cat-P_idle)*T/n_i por instruccion (div: c~21 plegado).
parameter,coef,unit
P_idle,1.147029,W
T_idle,39.37,C
alu,2.455533e-09,J/instr
mul,1.485520e-09,J/instr
mulh,6.209623e-09,J/instr
div,9.976117e-09,J/instr
mem,2.380615e-09,J/instr
ctrl,6.022479e-09,J/instr
fp_add,4.267500e-09,J/instr
fp_mul,3.543900e-09,J/instr
fp_fma,5.138100e-09,J/instr
fp_div,8.881250e-09,J/instr
fp_sqrt,6.147500e-09,J/instr
fp_noncomp,2.637000e-09,J/instr
fp_conv,2.646900e-09,J/instr
