# Bucles dominados (M1). Generado 2026-08-15 02:50:31.,coef=(P_cat-P_idle)*T/n_i por instruccion (div: c~21 plegado).
parameter,coef,unit
P_idle,1.146709,W
T_idle,39.37,C
alu,2.422249e-09,J/instr
mul,1.461650e-09,J/instr
mulh,6.132613e-09,J/instr
div,9.995031e-09,J/instr
mem,2.429719e-09,J/instr
ctrl,5.912091e-09,J/instr
fp_add,4.198950e-09,J/instr
fp_mul,3.429600e-09,J/instr
fp_fma,5.046600e-09,J/instr
fp_div,8.130325e-09,J/instr
fp_sqrt,6.111250e-09,J/instr
fp_noncomp,2.661625e-09,J/instr
fp_conv,2.649450e-09,J/instr
