# Bucles dominados (M1). Generado 2026-08-15 00:50:38.,coef=(P_cat-P_idle)*T/n_i por instruccion (div: c~21 plegado).
parameter,coef,unit
P_idle,1.146706,W
T_idle,39.49,C
alu,2.424070e-09,J/instr
mul,1.463407e-09,J/instr
mulh,6.212140e-09,J/instr
div,1.032498e-08,J/instr
mem,2.448260e-09,J/instr
ctrl,6.030666e-09,J/instr
fp_add,4.302300e-09,J/instr
fp_mul,3.542250e-09,J/instr
fp_fma,5.117250e-09,J/instr
fp_div,8.812650e-09,J/instr
fp_sqrt,6.136250e-09,J/instr
fp_noncomp,2.643250e-09,J/instr
fp_conv,2.540700e-09,J/instr
