# Bucles dominados (M1). Generado 2026-08-15 00:37:28.,coef=(P_cat-P_idle)*T/n_i por instruccion (div: c~21 plegado).
parameter,coef,unit
P_idle,1.146695,W
T_idle,39.73,C
alu,2.437728e-09,J/instr
mul,1.471983e-09,J/instr
mulh,6.123553e-09,J/instr
div,1.011062e-08,J/instr
mem,2.443370e-09,J/instr
ctrl,6.058898e-09,J/instr
fp_add,4.300650e-09,J/instr
fp_mul,3.559500e-09,J/instr
fp_fma,5.161650e-09,J/instr
fp_div,9.145850e-09,J/instr
fp_sqrt,6.285000e-09,J/instr
fp_noncomp,2.674875e-09,J/instr
fp_conv,2.674800e-09,J/instr
